ID,Timestamp,LogLevel,Source,Target,UserId,UserEmail,Description,ErrorMessage,StackTrace
00017995-fe4a-49c0-94de-d96511f74c98,2026-06-17T18:04:07.7077070,Error,API,/api/system-logs,d0793047-5e24-43f6-92c1-ab660d5264b2,t@t.com,Unhandled Exception: Unexpected end of request content.,Unexpected end of request content.,"   at Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1ContentLengthMessageBody.ReadAsyncInternal(CancellationToken cancellationToken)
   at System.Runtime.CompilerServices.PoolingAsyncValueTaskMethodBuilder`1.StateMachineBox`1.System.Threading.Tasks.Sources.IValueTaskSource<TResult>.GetResult(Int16 token)
   at Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.HttpRequestStream.ReadAsyncInternal(Memory`1 destination, CancellationToken cancellationToken)
   at System.Runtime.CompilerServices.PoolingAsyncValueTaskMethodBuilder`1.StateMachineBox`1.System.Threading.Tasks.Sources.IValueTaskSource<TResult>.GetResult(Int16 token)
   at System.Text.Json.Serialization.StreamReadBufferState.ReadAsync(Stream stream, CancellationToken cancellationToken, Boolean fillBuffer)
   at System.Text.Json.Serialization.Metadata.JsonTypeInfo`1.DeserializeAsync[TReadBufferState,TStream](TStream utf8Json, TReadBufferState bufferState, CancellationToken cancellationToken)
   at System.Text.Json.Serialization.Metadata.JsonTypeInfo`1.DeserializeAsObjectAsync(Stream utf8Json, CancellationToken cancellationToken)
   at Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonInputFormatter.ReadRequestBodyAsync(InputFormatterContext context, Encoding encoding)
   at Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonInputFormatter.ReadRequestBodyAsync(InputFormatterContext context, Encoding encoding)
   at Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinder.BindModelAsync(ModelBindingContext bindingContext)
   at Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder.BindModelAsync(ActionContext actionContext, IModelBinder modelBinder, IValueProvider valueProvider, ParameterDescriptor parameter, ModelMetadata metadata, Object value, Object container)
   at Microsoft.AspNetCore.Mvc.Controllers.ControllerBinderDelegateProvider.<>c__DisplayClass0_0.<<CreateBinderDelegate>g__Bind|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.<InvokeInnerFilterAsync>g__Awaited|13_0(ControllerActionInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeFilterPipelineAsync>g__Awaited|20_0(ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeAsync>g__Logged|17_1(ResourceInvoker invoker)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeAsync>g__Logged|17_1(ResourceInvoker invoker)
   at Microsoft.AspNetCore.Routing.EndpointMiddleware.<Invoke>g__AwaitRequestTask|7_0(Endpoint endpoint, Task requestTask, ILogger logger)
   at Microsoft.AspNetCore.Authorization.AuthorizationMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Authentication.AuthenticationMiddleware.Invoke(HttpContext context)
   at Swashbuckle.AspNetCore.SwaggerUI.SwaggerUIMiddleware.Invoke(HttpContext httpContext)
   at Swashbuckle.AspNetCore.Swagger.SwaggerMiddleware.Invoke(HttpContext httpContext, ISwaggerProvider swaggerProvider)
   at WhereIsTheTrain.API.Middleware.ExceptionHandlingMiddleware.InvokeAsync(HttpContext context) in C:\Users\progk\.gemini\antigravity\scratch\where-is-the-train\backend\src\WhereIsTheTrain.API\Middleware\ExceptionHandlingMiddleware.cs:line 26"
00265809-b888-4f07-9eb0-23b5eefd2d65,2026-06-17T18:00:32.4201520,Error,Frontend,http://localhost:5245/api/trips/5212ec3a-a97b-491e-9f65-08650793a9ab/telemetry,d0793047-5e24-43f6-92c1-ab660d5264b2,t@t.com,API request failed: Telemetry discarded: raw coordinate is too far from the track.,Telemetry discarded: raw coordinate is too far from the track.,
00a05d4b-0324-4646-80e7-187d079085f0,2026-06-17T17:57:43.2587460,Error,API,/api/trips/5212ec3a-a97b-491e-9f65-08650793a9ab/status,d0793047-5e24-43f6-92c1-ab660d5264b2,t@t.com,Unhandled Exception: Connect Timeout expired.,Connect Timeout expired.,"   at MySqlConnector.MySqlConnection.CreateSessionAsync(ConnectionPool pool, Int64 startingTimestamp, Activity activity, Nullable`1 ioBehavior, CancellationToken cancellationToken) in /_/src/MySqlConnector/MySqlConnection.cs:line 951
   at MySqlConnector.MySqlConnection.OpenAsync(Nullable`1 ioBehavior, CancellationToken cancellationToken) in /_/src/MySqlConnector/MySqlConnection.cs:line 419
   at Microsoft.EntityFrameworkCore.ServerVersion.AutoDetect(String connectionString)
   at WhereIsTheTrain.Infrastructure.DependencyInjection.<>c__DisplayClass0_0.<AddInfrastructure>b__0(DbContextOptionsBuilder options) in C:\Users\progk\.gemini\antigravity\scratch\where-is-the-train\backend\src\WhereIsTheTrain.Infrastructure\DependencyInjection.cs:line 20
   at Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions.CreateDbContextOptions[TContext](IServiceProvider applicationServiceProvider, Action`2 optionsAction)
   at ResolveService(ILEmitResolverBuilderRuntimeContext, ServiceProviderEngineScope)
   at ResolveService(ILEmitResolverBuilderRuntimeContext, ServiceProviderEngineScope)
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceProviderEngineScope.GetService(Type serviceType)
   at lambda_method357(Closure, IServiceProvider, Object[])
   at Microsoft.AspNetCore.Mvc.TypeFilterAttribute.CreateInstance(IServiceProvider serviceProvider)
   at Microsoft.AspNetCore.Mvc.Filters.DefaultFilterProvider.ProvideFilter(FilterProviderContext context, FilterItem filterItem)
   at Microsoft.AspNetCore.Mvc.Filters.FilterFactory.CreateUncachedFiltersCore(IFilterProvider[] filterProviders, ActionContext actionContext, List`1 filterItems)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvokerCache.GetCachedResult(ControllerContext controllerContext)
   at Microsoft.AspNetCore.Mvc.Routing.ControllerRequestDelegateFactory.<>c__DisplayClass12_0.<CreateRequestDelegate>b__0(HttpContext context)
   at Microsoft.AspNetCore.Routing.EndpointMiddleware.Invoke(HttpContext httpContext)
   at Microsoft.AspNetCore.Authorization.AuthorizationMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Authentication.AuthenticationMiddleware.Invoke(HttpContext context)
   at Swashbuckle.AspNetCore.SwaggerUI.SwaggerUIMiddleware.Invoke(HttpContext httpContext)
   at Swashbuckle.AspNetCore.Swagger.SwaggerMiddleware.Invoke(HttpContext httpContext, ISwaggerProvider swaggerProvider)
   at WhereIsTheTrain.API.Middleware.ExceptionHandlingMiddleware.InvokeAsync(HttpContext context) in C:\Users\progk\.gemini\antigravity\scratch\where-is-the-train\backend\src\WhereIsTheTrain.API\Middleware\ExceptionHandlingMiddleware.cs:line 26"
00acfb1b-1886-449f-aaf4-c652b80835fc,2026-06-19T17:54:56.1622790,Info,AdminAction,/api/admin/users/d0793047-5e24-43f6-92c1-ab660d5264b2/suspend,00000000-0000-0000-0000-000000009002,superadmin@whereisthetrain.com,"Admin executed PUT on /api/admin/users/d0793047-5e24-43f6-92c1-ab660d5264b2/suspend. Action: WhereIsTheTrain.API.Controllers.AdminController.ToggleUserSuspension (WhereIsTheTrain.API). Payload: {""id"":""d0793047-5e24-43f6-92c1-ab660d5264b2"",""request"":{""IsSuspended"":false}}",,
079e82e7-ac56-471b-987d-070480b83ee3,2026-06-16T18:18:33.0180560,Error,Mobile,http://192.168.1.11:5245/api/trips/bdfb9560-05b7-4044-b64d-01b031c4cf5a/status,,,Mobile API request failed: Request failed with status code 400,Request failed with status code 400,
08f6e1c9-22aa-4b0d-9e55-6bf34cae014d,2026-06-17T18:00:32.3699260,Error,Frontend,http://localhost:5245/api/trips/5212ec3a-a97b-491e-9f65-08650793a9ab/telemetry,d0793047-5e24-43f6-92c1-ab660d5264b2,t@t.com,API request failed: Telemetry discarded: raw coordinate is too far from the track.,Telemetry discarded: raw coordinate is too far from the track.,
08fb6d9c-8408-4e28-a532-0cc8efc0d149,2026-06-16T19:15:18.7260150,Error,Mobile,http://192.168.1.11:5245/api/trips/07677dd5-c59b-464e-9723-de6adaf71aaa/telemetry,,,Mobile API request failed: Telemetry discarded: raw coordinate is too far from the track.,Telemetry discarded: raw coordinate is too far from the track.,
09ae7b0a-0247-4ffd-a795-82f6329e902e,2026-06-16T23:16:29.5912030,Error,Frontend,http://localhost:5245/api/trips/a37953de-28e8-4857-94f5-e105faeeda47/telemetry,d0793047-5e24-43f6-92c1-ab660d5264b2,t@t.com,API request failed: Telemetry discarded: raw coordinate is too far from the track.,Telemetry discarded: raw coordinate is too far from the track.,
0a1ba601-371a-44c0-a4dc-0cafdfa728da,2026-06-17T17:58:14.8293850,Error,Frontend,http://localhost:5245/api/trips/5212ec3a-a97b-491e-9f65-08650793a9ab/telemetry,d0793047-5e24-43f6-92c1-ab660d5264b2,t@t.com,API request failed: Telemetry discarded: raw coordinate is too far from the track.,Telemetry discarded: raw coordinate is too far from the track.,
0db02d2c-27e3-486c-8b1b-8f4d41da8623,2026-06-16T19:06:10.7991750,Error,Mobile,http://192.168.1.11:5245/api/trips/b4cb95f2-4499-496e-ad63-961a80566bb7/telemetry,,,Mobile API request failed: Telemetry discarded: raw coordinate is too far from the track.,Telemetry discarded: raw coordinate is too far from the track.,
